username, created_at, lng, lat, text
mattsunday, Fri Jan 29 20:44:12 +0000 2021, -80.182822, 40.270158, anyone else just too tired to be inspired? 
_hiitssam, Fri Jan 29 20:44:12 +0000 2021, -88.008899, 42.959286, I am taken back by how vulnerable Layshia is choosing to be with the world. congrats to them! 
xoCamilaRose, Fri Jan 29 20:44:12 +0000 2021, -71.242072, 42.394453, @pontling 😘🥰 
theFreakyB12, Fri Jan 29 20:44:12 +0000 2021, -73.968542, 40.780709, Imagine #WallStreet crashes because of FUCKING #Dogecoin !!! #TooTheMoon https://t.co/gkO7DL4ZBn 
digitalhuckle, Fri Jan 29 20:44:12 +0000 2021, -73.935756, 40.848138, My new belt buckle arrived today! #beltbuckle #buckle #raven #ravenskull #alchemygothic #pewter #fashion… https://t.co/Du0Z0liMSM 
_TopFlightBoog, Fri Jan 29 20:44:12 +0000 2021, -97.751876, 30.456955, i hate new niggas... 
RonaldR16528860, Fri Jan 29 20:44:12 +0000 2021, -111.931711, 34.168253, @smc429 @MysterySolvent Gotta copy and paste. This is https://t.co/oGDC3i43mD your sense of humor.Keep up the great work. 
415rgb, Fri Jan 29 20:44:13 +0000 2021, -122.435979, 37.770657, @kaaatqp ima gemini but idfw them gemini men 🤣🤣 
AdonisVanCampen, Fri Jan 29 20:44:13 +0000 2021, -117.850574, 33.881923, @OldSchoolPunkLA @DidierTesChiant Yes 
havefaith1992, Fri Jan 29 20:44:12 +0000 2021, -98.540651, 29.417501, HOLD THE LINE 
fivesilentmiIes, Fri Jan 29 20:44:12 +0000 2021, -86.270540, 45.001180, This is what e learning feels like https://t.co/041nzGT1sB 
Uhollystar, Fri Jan 29 20:44:13 +0000 2021, -117.908836, 33.901914, Just posted a photo @ Placentia Orange County https://t.co/rwebuur00A 
YUNGXONYX, Fri Jan 29 20:44:13 +0000 2021, -71.421832, 41.817084, @e_alvinmusic Mad I couldn’t find a gif of Nicki signing boobs but that’s the vibe lol 
DennisHanes15, Fri Jan 29 20:44:13 +0000 2021, -81.730140, 39.993547, But without Trump the Republican party has no real base wait and see 
SaintVonnn, Fri Jan 29 20:44:13 +0000 2021, -96.761753, 32.819858, They gone try to wake me up wanting they hair fixed and all that. Nope! I’ll wake up on my own time, all I have to do is get dressed. 
CeruleanAura, Fri Jan 29 20:44:13 +0000 2021, -111.931711, 34.168253, @feebiejeebiesya You exist 
soulwreaver83, Fri Jan 29 20:44:13 +0000 2021, -123.120033, 49.098261, I miss my extended family. I need to hug and know their presence. So fuck Coronavirus and fuck cancer. 
phoenix_knows, Fri Jan 29 20:44:13 +0000 2021, -76.620482, 39.284713, Ard i need to learn the stocks i didn’t know it’s like this! 
DonkhodeHelio, Fri Jan 29 20:44:13 +0000 2021, -99.597545, 18.521024, @ti_juanajuana Jajaja algo, la letra 
HistoryAtPlay, Fri Jan 29 20:44:13 +0000 2021, -71.149444, 42.279167, Thank goodness she has her mask. #maskup #maskupamerica #mannequin @ West Roxbury https://t.co/Y9AWXTNSKn 
0Spank, Fri Jan 29 20:44:14 +0000 2021, -118.346138, 33.914068, You gone feel me . 
DR_Scullawl, Fri Jan 29 20:44:14 +0000 2021, -95.913642, 36.109392, @riddimdrip Thank you ty! I miss you 😭 
TheMakersMark_, Fri Jan 29 20:44:14 +0000 2021, -97.285913, 32.779967, Fuck you and that deputy. 
age_renewables, Fri Jan 29 20:44:14 +0000 2021, -73.948775, 40.655138, @I_LOVE_NY @BrooklynBrewery @domaineleseurre @ninepincider Spirits !!! 
ChrisGrant1968, Fri Jan 29 20:44:14 +0000 2021, -114.087851, 51.027664, Better questions is when will we actually start protecting LTC and stop punishing healthy Canadians? When does the… https://t.co/5AGGIBQAnV 
deetho_p, Fri Jan 29 20:44:14 +0000 2021, -117.104989, 32.810012, https://t.co/gtQsZgdqTd 
DJInfamousATL, Fri Jan 29 20:44:14 +0000 2021, -82.455800, 27.947300, Just posted a photo @ Tampa, Florida https://t.co/q9f61n7Vrm 
phillyfan90, Fri Jan 29 20:44:15 +0000 2021, -75.493761, 40.040788, @WatsinSteve @FogCityMidge @GOPLeader https://t.co/AUYfpQAKwJ 
DeanTesterman, Fri Jan 29 20:44:15 +0000 2021, -118.369645, 34.087010, I was today years old when I learned #CicelyTyson was married to #MilesDavis  🤯. My God ... What a power couple!! 
tmj_OHD_pharm, Fri Jan 29 20:44:15 +0000 2021, -84.133454, 39.870823, Interested in a job in Huber Heights, OH? This could be a great fit. Click the link in our bio to apply: Pharmacy T… https://t.co/T9561vqz2K 
SeranoBakery, Fri Jan 29 20:44:15 +0000 2021, -79.346730, 43.682810, Just posted a photo @ Serano Bakery https://t.co/genodrhrEq 
NoSoyTanMam0n, Fri Jan 29 20:44:15 +0000 2021, -101.340394, 20.673542, Cuando era niño siempre soñé en ser como Ronaldo, y por fin lo he conseguido 🥺🥺🥺 https://t.co/k6HrFVPlGp 
giftfromvirgos, Fri Jan 29 20:44:15 +0000 2021, -87.732013, 41.833585, @beyologist a petty PhD https://t.co/YPvLv93n7V 
moneyhungryhaz1, Fri Jan 29 20:44:15 +0000 2021, -95.913642, 36.109392, NO $20 TRIBUTE? NO RESPONSE. THIS ISN'T A CHARITY SERVICE. THIS IS FINDOM. IF YOU WANNA LO0K AT ME FOR $3 SUB TO MY… https://t.co/OTg1fICd8G 
monicatmeows, Fri Jan 29 20:44:15 +0000 2021, -90.322616, 38.610796, ✨$200 MYSTERY MAKEOVER NOW AVAILABLE!! Tell your friends✨ https://t.co/vbJQIsnpHk 
CormorantHobo, Fri Jan 29 20:44:15 +0000 2021, -117.998733, 33.692542, 🙄 
iFahad_009, Fri Jan 29 20:44:15 +0000 2021, -80.226813, 40.522217, الحلاقه تغير من نفسيتك 
tmj_cte_adv, Fri Jan 29 20:44:15 +0000 2021, -71.470761, 41.999063, See our latest #Woonsocket, RI job and click to apply: Copywriter - Work from Home/Remote - https://t.co/YH7kGPOoJW #marketing 
theArabCyclist, Fri Jan 29 20:44:15 +0000 2021, -117.851089, 33.842863, @bobbyshawarmah How these chicks aren’t walking around bald like me is beyond me 
Johnny_Speed, Fri Jan 29 20:44:15 +0000 2021, -113.492617, 53.555819, @Day_N_Night2Day Is Lacrosse almost as hard on teeth as hockey? 
KearnyCanela, Fri Jan 29 20:44:16 +0000 2021, -104.922093, 39.713563, Took a chance, now I must rebuild yet again. Every time I feel ahead, I get pulled back. This time IDK how I come b… https://t.co/QNqUOp2wfd 
lasvegastbirds, Fri Jan 29 20:44:15 +0000 2021, -115.234435, 36.018805, Congratulations to Defenseman, Steven Avalone and Goaltender, Dylan Woods on earning players of the week! #gotbirds… https://t.co/9yxYu2ARsT 
B_Yvonne_, Fri Jan 29 20:44:16 +0000 2021, -117.320879, 33.226316, @junekahballz45 Awww lol just lately for me... 
rjhintz, Fri Jan 29 20:44:16 +0000 2021, -122.279521, 37.875845, @justinesherry Next time consider typhoid oral vax, which is well tolerated and lasts longer 
daniellanmedina, Fri Jan 29 20:44:16 +0000 2021, -80.347120, 25.671986, @MillersAleHouse @PatrickNurseFTW Yayyyyy 
NayleaGalindo, Fri Jan 29 20:44:16 +0000 2021, -104.363380, 19.128538, Y yo creyendo que tengo Covid porque no le encontraba sabor 
AMJ_AlexJohnson, Fri Jan 29 20:44:16 +0000 2021, -118.411907, 34.020789, Latino COVID-19 deaths hit 'horrifying' levels, up 1,000% since November in L.A. County https://t.co/lm5abZd72f 
tonyjmz_, Fri Jan 29 20:44:16 +0000 2021, -100.772211, 20.522692, Valiendo verga 
TrangDoCBS3, Fri Jan 29 20:44:16 +0000 2021, -75.117998, 40.004866, Enormous loss of a #Temple &amp; #Philly legend 🙏🏻🙏🏻🙏🏻 
aalexboyd, Fri Jan 29 20:44:16 +0000 2021, -104.923822, 39.620282, My body hurtsssssss why does getting older just hit you like a truck one day 
plainshane_, Fri Jan 29 20:44:16 +0000 2021, -82.985772, 39.994684, https://t.co/rl6ODnU3bn #buyingcontent #subscribe #LGBTQ #AdultWork #model #nakedink #nsfwink #OF #onlyFans https://t.co/euZSgdO2QN 
JunkMonsterOC, Fri Jan 29 20:44:16 +0000 2021, -117.780000, 33.670000, Just posted a photo @ Orange County, California https://t.co/EHWyC8mZuM 
6__juicePenn1y, Fri Jan 29 20:44:17 +0000 2021, -85.641142, 42.956412, don’t do it... don’t fall for it 
laureenw_, Fri Jan 29 20:44:17 +0000 2021, -104.693173, 38.705208, @heavnsangels glad i’m not the only one 😂 
drjerber, Fri Jan 29 20:44:16 +0000 2021, -73.948775, 40.655138, @DVinsard Oy 🤦🏽as one of our great hepatologists at @MontefioreNYC used to lament “Transaminitis” means the liver t… https://t.co/LrJsWCCk6D 
iwaspoisoned_, Fri Jan 29 20:44:17 +0000 2021, -93.718541, 36.962223, Subway - Aurora, Missouri - I got a steak and cheese with extra steak and cheese and later on that night I felt lik… https://t.co/19k0zk2wvY 
SteeleWars, Fri Jan 29 20:44:17 +0000 2021, -118.411907, 34.020789, @MisterJ831 Has anyone seen TFA? How would a scene between them conceivably fit? https://t.co/dcF9yXOnjN 
09lisa18, Fri Jan 29 20:44:17 +0000 2021, -83.804475, 27.698682, @mmh503 @Titleist Lol, She is beautiful! So are the Titleist! 
cweaverfilms, Fri Jan 29 20:44:17 +0000 2021, -77.323862, 34.748583, $30 Lmaooo 
Brian_Lomax, Fri Jan 29 20:44:17 +0000 2021, -77.014398, 38.898603, @CJohnsonYCCD Can’t wait til we get our laser next month tbh 
AwwHaleNah, Fri Jan 29 20:44:17 +0000 2021, -87.732013, 41.833585, Okay, but I’m living for the lady suit vibe these days. 😻😻😻 
iamtaylorwinter, Fri Jan 29 20:44:17 +0000 2021, -83.099288, 42.352787, Had the face, I fixed the body, now she pretty and she paid. 
ArmandoFlrezCa1, Fri Jan 29 20:44:17 +0000 2021, -106.271748, 23.468140, Jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaj… https://t.co/WFkg70tB6B 
kiaavegas, Fri Jan 29 20:44:17 +0000 2021, -95.446486, 29.838495, 💀💀💀💀💀💀💀 
mjkstk, Fri Jan 29 20:44:17 +0000 2021, -122.630908, 45.536402, Happy Friday 💋 Keep your lips protected and nourished with our CBD Lip Treatment, made with our hero ingredients: C… https://t.co/qIG6cNLQ9T 
DraMonicaAF, Fri Jan 29 20:44:18 +0000 2021, -122.430277, 48.753353, @PerritoVR Qué asco, de veras. 
sean_not_shawn1, Fri Jan 29 20:44:18 +0000 2021, -100.076888, 31.168893, The East is ours baby!! ⭐️ 🔵 
rogeraholien, Fri Jan 29 20:44:18 +0000 2021, -106.632718, 35.117002, @JamesDYodice Agree! 
johnsheehan1962, Fri Jan 29 20:44:18 +0000 2021, -93.262046, 44.970610, @stevepuma @RightWingWatch I thought Now was brain dead.. 
Elenita_reyesS, Fri Jan 29 20:44:18 +0000 2021, -99.017017, 19.432722, 🙏 
BigBossYas, Fri Jan 29 20:44:18 +0000 2021, -100.076888, 31.168893, Destiny’s Child - IF &gt;&gt;&gt;&gt; 
naughtyemily13, Fri Jan 29 20:44:18 +0000 2021, -93.361321, 46.441861, #greeneyes #milf #dtf #mnmom https://t.co/AN0w4I6WxU 
SuwaveStudios, Fri Jan 29 20:44:18 +0000 2021, -73.831187, 40.670879, She will be missed dearly♥️ 
Evan_Almightee, Fri Jan 29 20:44:18 +0000 2021, -86.791549, 36.200008, The price of Bitcoin every time you talk: https://t.co/jrxQsARKiM 
KellyLeeClark1, Fri Jan 29 20:44:18 +0000 2021, -118.351218, 33.833714, I'm o'Kelly my brother DJ call him Williams,  my gold chains for real https://t.co/MpcQVNigTW 
Shelryuken, Fri Jan 29 20:44:19 +0000 2021, -87.699196, 42.045437, Wait 💀💀💀💀 
tmswicegood, Fri Jan 29 20:44:19 +0000 2021, -79.249025, 37.331123, @AdamLefkoe @fordmdave 
shans_thoma07, Fri Jan 29 20:44:19 +0000 2021, -77.604684, 41.117936, so apparently, egg banks don’t want your eggs if you’ve been diagnosed with depression. so these test tube babies a… https://t.co/6TwHiRKH4U 
electgarrick, Fri Jan 29 20:44:19 +0000 2021, -112.124676, 33.552863, Again, another failure of our system. Ryan, had a gun in his hand. As soon as he saw it was officers he immediately… https://t.co/Nvr2nwl5T0 
DaleDalebarker4, Fri Jan 29 20:44:19 +0000 2021, -83.804475, 27.698682, Incredible insight into the beginnings of #TheExpanse and our Roci crew! *kinda like how  #Stargate explained the… https://t.co/5FjIgJS2u9 
jsampancake, Fri Jan 29 20:44:19 +0000 2021, -118.411907, 34.020789, @SarahThyre Same. If ONLY I HAD KNOWN AT THE TIME. Some of them had to be only a few 100, right? I would have paid… https://t.co/lPYDqpHWes 
ranjok17, Fri Jan 29 20:44:19 +0000 2021, -84.481649, 39.041261, @TheIronTory @alaynatreene @jonathanvswan https://t.co/1AX44ppMJE 
